Previsões para SKU 98529:
            ds         yhat   yhat_lower   yhat_upper
364 2023-12-05  1849.525427  1730.818915  1969.282542
365 2023-12-06  1830.817729  1712.146796  1950.280245
366 2023-12-07  1837.227581  1711.875715  1955.876040
367 2023-12-08  1835.473712  1715.345150  1955.901992
368 2023-12-09  1867.377579  1749.167088  1990.166225
369 2023-12-10  1863.546526  1741.061482  1987.014909
370 2023-12-11  1828.233807  1702.606284  1951.514722
371 2023-12-12  1848.969939  1726.104953  1968.849327
372 2023-12-13  1830.262241  1709.705565  1953.355790
373 2023-12-14  1836.672093  1721.389170  1955.490354
374 2023-12-15  1834.918225  1713.307601  1947.413728
375 2023-12-16  1866.822092  1746.612371  1991.736125
376 2023-12-17  1862.991039  1734.339980  1984.756578
377 2023-12-18  1827.678320  1710.800223  1948.598441
378 2023-12-19  1848.414452  1738.757620  1970.591824
379 2023-12-20  1829.706754  1709.590136  1950.713278
380 2023-12-21  1836.116606  1712.516320  1960.094319
381 2023-12-22  1834.362737  1718.768989  1957.084770
382 2023-12-23  1866.266604  1748.462649  1998.173462
383 2023-12-24  1862.435551  1734.903676  1980.913355

Previsões para SKU 2121276:
            ds         yhat   yhat_lower   yhat_upper
356 2023-12-05  3872.631828  3699.013518  4047.738053
357 2023-12-06  3848.406642  3698.267327  4013.934892
358 2023-12-07  3851.955034  3682.188076  4025.482008
359 2023-12-08  3828.880224  3673.927761  3997.339942
360 2023-12-09  3827.513515  3647.830151  3987.266136
361 2023-12-10  3870.845343  3709.289296  4042.607872
362 2023-12-11  3826.205785  3659.725847  3999.451017
363 2023-12-12  3858.159769  3678.433471  4021.516333
364 2023-12-13  3833.934583  3672.017394  4010.557705
365 2023-12-14  3837.482975  3657.259926  4005.915068
366 2023-12-15  3814.408164  3642.975371  3994.904010
367 2023-12-16  3813.041456  3637.016832  3983.904624
368 2023-12-17  3856.373284  3681.363809  4025.641893
369 2023-12-18  3811.733726  3647.939720  3995.130120
370 2023-12-19  3843.687709  3672.443044  4016.547668
371 2023-12-20  3819.462523  3658.096696  3983.022326
372 2023-12-21  3823.010915  3650.189583  3993.126166
373 2023-12-22  3799.936105  3619.966089  3967.023187
374 2023-12-23  3798.569396  3633.479263  3974.351780
375 2023-12-24  3841.901224  3674.308034  4011.247944

Previsões para SKU 2513205:
            ds         yhat   yhat_lower   yhat_upper
359 2023-12-05  4437.037049  4290.579298  4587.006954
360 2023-12-06  4432.723127  4287.177795  4574.048979
361 2023-12-07  4437.610867  4288.439107  4575.890042
362 2023-12-08  4424.168147  4278.682517  4566.613129
363 2023-12-09  4424.597791  4285.268757  4557.700829
364 2023-12-10  4448.209474  4301.728669  4589.609772
365 2023-12-11  4427.604112  4281.618465  4566.156662
366 2023-12-12  4434.634379  4296.473130  4583.823871
367 2023-12-13  4430.320457  4300.187683  4569.227876
368 2023-12-14  4435.208196  4285.759345  4582.761574
369 2023-12-15  4421.765476  4286.418480  4563.294908
370 2023-12-16  4422.195121  4275.793908  4563.159724
371 2023-12-17  4445.806803  4303.697725  4584.449482
372 2023-12-18  4425.201442  4286.260269  4572.030723
373 2023-12-19  4432.231708  4283.234970  4578.534996
374 2023-12-20  4427.917787  4276.657480  4572.680979
375 2023-12-21  4432.805526  4285.273382  4575.505505
376 2023-12-22  4419.362806  4281.728457  4566.138282
377 2023-12-23  4419.792451  4278.699282  4573.388333
378 2023-12-24  4443.404133  4305.313910  4583.796726

Previsões para SKU 3097262:
            ds         yhat   yhat_lower   yhat_upper
360 2023-12-05  2395.012999  2262.993481  2533.196538
361 2023-12-06  2381.473942  2245.406117  2526.338231
362 2023-12-07  2384.642768  2237.614894  2528.699981
363 2023-12-08  2368.480431  2231.204039  2506.619895
364 2023-12-09  2373.886144  2227.966342  2516.289472
365 2023-12-10  2380.418269  2251.214203  2528.520474
366 2023-12-11  2369.796314  2240.745593  2498.745214
367 2023-12-12  2390.228349  2265.111012  2533.543231
368 2023-12-13  2376.689292  2239.716768  2510.716952
369 2023-12-14  2379.858118  2243.979353  2525.737937
370 2023-12-15  2363.695781  2230.142102  2505.938841
371 2023-12-16  2369.101494  2230.461111  2511.715843
372 2023-12-17  2375.633619  2226.026911  2516.565287
373 2023-12-18  2365.011664  2223.833206  2506.357941
374 2023-12-19  2385.443699  2242.190692  2526.997492
375 2023-12-20  2371.904642  2231.018431  2514.581639
376 2023-12-21  2375.073468  2239.079125  2516.627048
377 2023-12-22  2358.911131  2213.476779  2498.235675
378 2023-12-23  2364.316844  2231.297522  2504.018583
379 2023-12-24  2370.848969  2224.838896  2514.037577

Previsões para SKU 3097266:
            ds         yhat   yhat_lower   yhat_upper
361 2023-12-05  2587.481965  2412.800055  2761.668568
362 2023-12-06  2565.753513  2395.356928  2740.455437
363 2023-12-07  2534.194805  2357.879062  2702.340083
364 2023-12-08  2531.384387  2364.773097  2697.510498
365 2023-12-09  2555.088788  2371.730938  2720.268639
366 2023-12-10  2568.536360  2396.501346  2744.165226
367 2023-12-11  2552.408378  2383.307787  2729.935662
368 2023-12-12  2583.481386  2419.304584  2767.415245
369 2023-12-13  2561.752935  2382.929736  2737.628842
370 2023-12-14  2530.194226  2362.390555  2696.225362
371 2023-12-15  2527.383808  2359.169515  2706.746865
372 2023-12-16  2551.088209  2383.905187  2721.934429
373 2023-12-17  2564.535782  2402.898019  2731.522560
374 2023-12-18  2548.407799  2377.312403  2724.901727
375 2023-12-19  2579.480808  2406.558814  2742.385191
376 2023-12-20  2557.752356  2371.319093  2729.392821
377 2023-12-21  2526.193647  2352.744657  2703.792692
378 2023-12-22  2523.383230  2356.456657  2704.544436
379 2023-12-23  2547.087630  2361.902771  2719.026177
380 2023-12-24  2560.535203  2389.340261  2723.978815

Previsões para SKU 3293446:
            ds         yhat   yhat_lower   yhat_upper
359 2023-12-05  2333.515655  2176.311584  2482.446885
360 2023-12-06  2313.734298  2161.866880  2459.369036
361 2023-12-07  2312.158008  2160.853623  2452.040406
362 2023-12-08  2315.812652  2156.970712  2473.444539
363 2023-12-09  2319.415686  2168.716874  2468.613473
364 2023-12-10  2322.851060  2168.662014  2465.643175
365 2023-12-11  2295.849171  2134.461680  2448.112304
366 2023-12-12  2325.625095  2172.213536  2469.318452
367 2023-12-13  2305.843739  2159.705900  2461.160988
368 2023-12-14  2304.267449  2160.790557  2446.195982
369 2023-12-15  2307.922093  2164.343291  2456.922291
370 2023-12-16  2311.525126  2151.969052  2462.704085
371 2023-12-17  2314.960501  2166.543985  2461.923130
372 2023-12-18  2287.958612  2135.427531  2434.705092
373 2023-12-19  2317.734536  2165.752200  2462.755079
374 2023-12-20  2297.953179  2147.511815  2450.943345
375 2023-12-21  2296.376889  2133.758881  2447.457316
376 2023-12-22  2300.031533  2135.028320  2443.354201
377 2023-12-23  2303.634567  2149.071754  2455.415728
378 2023-12-24  2307.069941  2154.246093  2455.480274

Previsões para SKU 12480992:
            ds         yhat   yhat_lower   yhat_upper
362 2023-12-05  6160.377345  5913.961199  6425.717835
363 2023-12-06  6118.026666  5874.744326  6360.054991
364 2023-12-07  6136.704333  5899.522844  6387.854137
365 2023-12-08  6161.283791  5919.030085  6422.590820
366 2023-12-09  6117.944479  5860.493292  6354.240889
367 2023-12-10  6166.504840  5910.005567  6424.475112
368 2023-12-11  6123.637216  5863.427290  6362.643082
369 2023-12-12  6142.035481  5870.323618  6385.989356
370 2023-12-13  6099.684803  5861.881223  6371.233375
371 2023-12-14  6118.362469  5898.354447  6383.969770
372 2023-12-15  6142.941927  5897.548039  6395.308758
373 2023-12-16  6099.602615  5836.649078  6349.004529
374 2023-12-17  6148.162976  5911.123523  6395.256528
375 2023-12-18  6105.295352  5851.979575  6353.546583
376 2023-12-19  6123.693617  5872.249338  6378.400177
377 2023-12-20  6081.342939  5836.804012  6341.629855
378 2023-12-21  6100.020605  5866.166627  6360.966383
379 2023-12-22  6124.600064  5878.707550  6393.552212
380 2023-12-23  6081.260751  5831.851321  6335.495471
381 2023-12-24  6129.821112  5867.287465  6400.655053

Previsões para SKU 12481370:
            ds         yhat   yhat_lower   yhat_upper
364 2023-12-05  3765.558131  3495.431328  4004.611693
365 2023-12-06  3778.983314  3515.918185  4031.010250
366 2023-12-07  3742.251420  3486.540263  4009.663886
367 2023-12-08  3770.702421  3488.268603  4027.588624
368 2023-12-09  3788.625215  3525.856178  4072.500290
369 2023-12-10  3785.758344  3499.535485  4037.989583
370 2023-12-11  3756.914009  3494.579090  4026.965810
371 2023-12-12  3770.887158  3499.408281  4037.612495
372 2023-12-13  3784.312340  3511.235811  4047.592228
373 2023-12-14  3747.580447  3485.970406  4017.146934
374 2023-12-15  3776.031448  3511.614216  4057.080735
375 2023-12-16  3793.954241  3531.260597  4061.486591
376 2023-12-17  3791.087371  3523.169846  4065.955708
377 2023-12-18  3762.243036  3516.466051  4019.607388
378 2023-12-19  3776.216184  3510.219305  4036.319730
379 2023-12-20  3789.641367  3526.172986  4045.348919
380 2023-12-21  3752.909474  3483.728729  4017.038833
381 2023-12-22  3781.360474  3497.695667  4040.494232
382 2023-12-23  3799.283268  3530.889923  4077.590448
383 2023-12-24  3796.416397  3529.246131  4071.616875

Previsões para SKU 12481834:
            ds         yhat   yhat_lower   yhat_upper
362 2023-12-05  5787.808522  5528.973596  6063.037938
